instance,N,asset_id,mu,sigma_diag,budget_k,min_return,lambda_risk
S,8,1,-0.0003255486397853957,0.0001759541673854116,3,0.002,0.5
S,8,2,-0.00016039447891784788,0.00039168507748827314,3,0.002,0.5
S,8,3,0.00034659633189863034,0.0006815815406115253,3,0.002,0.5
S,8,4,0.0008354638604673463,0.0006124832059537295,3,0.002,0.5
S,8,5,0.0008087887703522581,0.00040451573924531805,3,0.002,0.5
S,8,6,0.0018142287227685021,0.0001830045878947102,3,0.002,0.5
S,8,7,0.0010006840559444142,0.00015526868731506689,3,0.002,0.5
S,8,8,0.0006113376913546173,0.0005686591334753238,3,0.002,0.5
M,20,1,0.002501083024656719,0.000767139549172436,5,0.004,0.6
M,20,2,0.0019647102337058166,0.00033183205066825876,5,0.004,0.6
M,20,3,0.0008646403061930113,0.00017845969256520512,5,0.004,0.6
M,20,4,0.0016358217301098994,0.0006647740185822943,5,0.004,0.6
M,20,5,0.0012316620003386708,0.0001641551109897723,5,0.004,0.6
M,20,6,0.0010138585201647798,0.0004685828836634903,5,0.004,0.6
M,20,7,0.0004658336581436686,0.0007177156851940835,5,0.004,0.6
M,20,8,-0.0015330609635104808,0.00010656989983853347,5,0.004,0.6
M,20,9,0.0009512723500408186,0.0005340168213468441,5,0.004,0.6
M,20,10,0.0012222049934133186,0.0003811584493402752,5,0.004,0.6
M,20,11,0.0012508882613643552,0.00023423797007036652,5,0.004,0.6
M,20,12,0.0013855483032105022,0.0006220020786011862,5,0.004,0.6
M,20,13,-0.0008884719709048997,0.0003983811367200033,5,0.004,0.6
M,20,14,-0.0006973354037278011,0.00035248971174635526,5,0.004,0.6
M,20,15,-0.0007589210282745009,0.0004414457180030985,5,0.004,0.6
M,20,16,-0.00038960323234060984,0.0001793717775335085,5,0.004,0.6
M,20,17,0.00261064825887562,0.0006230403571349287,5,0.004,0.6
M,20,18,-0.0012309912580606634,0.0007152670676176226,5,0.004,0.6
M,20,19,0.00025369024886996586,0.0004929185748649794,5,0.004,0.6
M,20,20,0.00019461058045578414,0.0007631866061693483,5,0.004,0.6
L,50,1,-0.001164463797256081,0.0002815934582482944,10,0.006,0.7
L,50,2,-0.0008119253176720703,0.0007526339635103519,10,0.006,0.7
L,50,3,-0.000977167095719361,0.00033068693140379216,10,0.006,0.7
L,50,4,-0.00046708301767738394,0.00044844034380247264,10,0.006,0.7
L,50,5,-0.0021834857611950803,0.00023218221298578075,10,0.006,0.7
L,50,6,-0.0017869850373307544,0.00046222764650144554,10,0.006,0.7
L,50,7,-0.0012753889021446857,0.0002182250173457014,10,0.006,0.7
L,50,8,-0.0011918220031431083,0.0007831920754307696,10,0.006,0.7
L,50,9,-0.0005842280579061332,0.00016300251223249533,10,0.006,0.7
L,50,10,0.0007852311507388057,0.0001266768025691583,10,0.006,0.7
L,50,11,-0.0009366113497205062,0.00020447040597658996,10,0.006,0.7
L,50,12,0.0009440293526260175,0.0006445906924256528,10,0.006,0.7
L,50,13,0.001984887028818546,0.00033968559840734624,10,0.006,0.7
L,50,14,0.0025882654776413685,0.00014320776647547612,10,0.006,0.7
L,50,15,0.0024857749696236132,0.00032208508724432006,10,0.006,0.7
L,50,16,0.001831709440144264,0.00010175259721428327,10,0.006,0.7
L,50,17,-0.00027735776449675203,0.00026032577802207157,10,0.006,0.7
L,50,18,-0.0026876506031569846,0.00037792360914038197,10,0.006,0.7
L,50,19,0.0021413340807858415,0.00048437022764753805,10,0.006,0.7
L,50,20,0.0013696691715670592,0.0007467574173549293,10,0.006,0.7
L,50,21,0.001996034074829291,0.00011929105520898142,10,0.006,0.7
L,50,22,0.0001540736289846085,0.0005694918817939395,10,0.006,0.7
L,50,23,0.0014179790151214152,0.0004806860700545778,10,0.006,0.7
L,50,24,0.003923343011538966,0.00014502999554807835,10,0.006,0.7
L,50,25,0.0024029562640561185,0.00017116543183255794,10,0.006,0.7
L,50,26,-3.833923090927334e-05,0.0007752453452299515,10,0.006,0.7
L,50,27,-0.0010862284684735864,0.00010644736848955986,10,0.006,0.7
L,50,28,-0.0012327457639159677,0.0005656101017290884,10,0.006,0.7
L,50,29,0.0019514916663884805,0.0006616153562285318,10,0.006,0.7
L,50,30,0.0011136083316296563,0.0005418869267633344,10,0.006,0.7
L,50,31,0.0018776243632454522,0.0005863580343642175,10,0.006,0.7
L,50,32,0.001536652178017649,0.0004778228928863944,10,0.006,0.7
L,50,33,0.001365666939936296,0.0005975332584240911,10,0.006,0.7
L,50,34,-0.0009552196339030177,0.00020625619533539826,10,0.006,0.7
L,50,35,0.000904216373058262,0.00032390934651480203,10,0.006,0.7
L,50,36,-0.0019963270364776633,0.00032954449961656375,10,0.006,0.7
L,50,37,0.000484815551882019,0.00034597704679364174,10,0.006,0.7
L,50,38,0.00024016685456199494,0.00045402201653351343,10,0.006,0.7
L,50,39,0.0001815980509263123,0.00019106071133902303,10,0.006,0.7
L,50,40,-0.002654981167686299,0.0006412511806747488,10,0.006,0.7
L,50,41,-0.0004895515225414404,0.0005247547008736885,10,0.006,0.7
L,50,42,0.0038462374846162896,0.00048638798479797284,10,0.006,0.7
L,50,43,-0.002121588233042208,0.0004325831511531019,10,0.006,0.7
L,50,44,-6.559520060868504e-05,0.00046530388061543216,10,0.006,0.7
L,50,45,0.0001171263501308167,0.00010654656568614583,10,0.006,0.7
