session_id,src,dst,key_bits,keygen_time_us,rekey_interval_ms,packet_count,failure_rate,total_overhead_us
1,36,19,256,10.784322613734735,500,2244,0.0001283671990622016,11.138317596945855
2,99,53,256,13.190264583861172,100,3611,1.4396681161557227e-05,13.190264583861172
3,39,81,1024,43.65315837222614,100,2747,4.735661150604695e-05,43.81682254686823
4,9,95,256,13.487998838659674,100,3155,4.899768775470744e-05,13.487998838659674
5,49,23,512,19.104144595494176,500,979,0.00010432968096933788,19.275880820455832
6,60,10,512,12.450500657733922,100,2605,8.071476168416793e-05,12.759459373460686
7,8,84,512,34.17172416613186,100,2427,2.000662671140303e-05,34.301378710081
8,60,96,512,28.541552373852973,250,246,0.0004949522581843477,28.637272076806283
9,94,61,1024,42.97456135452987,500,2841,0.0003298559774990273,43.17930289661572
10,7,23,512,22.0286309325753,1000,2578,0.00031860615271526923,22.263413356813725
11,73,89,256,8.486765246831325,100,27,7.059188678943815e-05,9.234665344547098
12,7,51,256,10.727918463905402,250,987,5.990215548703092e-05,10.7946123209375
13,16,55,1024,36.63283459819281,1000,4855,6.620425849636621e-06,36.63283459819281
14,65,90,256,10.357480595060085,500,2188,1.901002898502514e-05,10.383606531368782
15,54,5,256,8.498540604173973,100,718,3.159421443861957e-06,8.701750800498775
16,98,71,512,29.120049227201555,100,4257,2.6540730739149766e-05,29.736915464396997
17,56,65,512,26.269336416787937,100,2355,6.381194040590567e-05,26.33193631959192
18,72,14,256,10.13163322359054,500,1242,0.0002999455791885106,10.271258730695752
19,44,74,256,12.802167861253782,1000,4974,0.00019389757861547314,13.044137531139755
20,72,7,256,12.579559929674456,500,2951,8.277271197419261e-05,13.171651657145352
21,79,48,256,14.37312655420179,50,470,8.262701362226017e-05,14.407908568635968
22,75,65,512,23.356065582981504,100,2070,2.243964866619788e-05,23.585500455282776
23,18,1,256,10.269732726423202,500,2424,6.73279426378651e-05,10.269732726423202
24,44,56,256,12.623848483708391,1000,1255,0.00013770036970781402,12.853779083005945
25,52,61,1024,49.2253280940525,100,3882,1.108440461683171e-05,49.43227300488183
26,12,41,256,11.505810782099685,100,385,3.900506991397481e-05,11.838067286645206
27,95,98,512,21.295152434133982,100,483,9.575322140629631e-05,21.6823206598483
28,62,9,256,20.27644830127837,250,3337,2.2831348126497937e-05,20.800044567143246
29,89,97,512,26.53160011244874,250,1143,0.00016334422472584855,26.60752922769203
30,96,11,256,7.218430208175415,1000,1933,0.00017985597692434497,7.393451480691371
31,2,41,512,25.64436329249983,250,1304,1.6296004495260766e-07,25.826518133143438
32,65,91,512,32.013333455847494,250,1585,6.128505022102124e-05,32.3620060172313
33,48,23,1024,54.95059709439332,50,3428,0.00048803280451134893,55.02178347135794
34,78,14,256,12.758820614798065,100,1462,3.399605807976918e-05,12.758820614798065
35,65,66,256,15.098063734162976,250,1135,1.585408489096159e-05,15.237906831149019
36,63,90,256,11.320188552056516,1000,3280,0.0005771695145402077,11.728313834601211
37,98,23,256,17.398308060086045,250,2786,0.00018534118662029582,17.398308060086045
38,73,34,256,18.51590502505947,100,3956,4.153290772189415e-05,18.689550702519146
39,67,51,512,19.60193989937886,100,330,2.0721964130006334e-05,19.803859157444077
40,46,76,256,8.085011529160246,1000,2342,3.05918825699323e-05,8.222092864388514
41,55,13,256,9.655567677089186,50,1796,0.0001716916181190516,9.763824293354139
42,17,92,512,39.18477475070033,250,2530,1.2030173669340609e-05,39.24743069369457
43,64,90,1024,38.382631217285734,500,508,4.94294414183934e-06,38.711164298816776
44,99,73,256,16.960204147998457,100,703,0.00012569898090689072,17.075300863139642
45,81,15,256,11.50451629200442,1000,4852,0.0001082377150315258,11.759309546676981
46,53,14,512,35.018935765909845,250,4260,3.167331651732632e-05,35.25016116256213
47,44,57,512,17.542724292535972,50,3447,0.00010148918566238517,18.167929936882885
48,32,17,512,28.090784395889486,50,2620,4.4030987510012886e-05,28.294198893008225
49,52,47,256,10.892871773511654,250,3632,0.00015390552425522037,11.231489667872427
50,25,79,512,22.044425117095766,250,3779,0.0002469842604289877,22.231750866027767
51,1,36,256,9.98326774990877,500,1401,4.640108359927378e-05,10.10527034448747
52,13,100,256,10.742563384372755,1000,4605,5.5942723814132926e-05,11.026195018852356
