i,j,sigma
1,1,0.00028584155539321325
1,2,6.326628380675684e-05
1,3,-2.3789963396110394e-05
1,4,1.0894381535910387e-06
1,5,8.076152634001344e-05
1,6,9.504144918041177e-05
1,7,1.883214166802741e-05
1,8,2.448836848782788e-05
1,9,-8.036414250822484e-05
1,10,4.8668520669601633e-05
1,11,-2.1728788231309273e-05
1,12,1.3756446604433668e-05
1,13,-2.071691746725807e-05
1,14,-7.982097450446955e-07
1,15,3.5445190108315615e-05
1,16,3.313087925343057e-05
1,17,-5.128047459500038e-05
1,18,-1.7640823573575128e-05
1,19,-6.914139094969302e-05
1,20,-2.574143804763347e-05
1,21,-5.254716719048618e-05
1,22,0.00015417585390679802
1,23,2.7054130049679944e-05
1,24,-0.00010002181075306418
1,25,9.61823702620748e-05
1,26,-4.960440859383164e-05
1,27,-0.00010519125467722964
1,28,-7.0914890936541135e-06
1,29,-3.89344207156011e-05
1,30,8.468375033877889e-05
1,31,5.905785915110428e-05
1,32,-1.4235725879718903e-05
1,33,-1.8390934433489633e-05
1,34,-2.5740060604446985e-05
1,35,-0.00012503444486795836
1,36,-4.950769025317437e-05
1,37,2.572427694146152e-06
1,38,1.5333142275751192e-05
1,39,-3.512535255193318e-05
1,40,-1.1222969544001782e-05
1,41,5.687266069404234e-05
1,42,-5.364015235633691e-05
1,43,6.170337900705227e-05
1,44,8.06353389036227e-06
1,45,4.4144380059356175e-06
1,46,6.926695104864806e-05
1,47,-3.7763201723207905e-05
1,48,4.445984440577242e-05
1,49,-0.00010116043745361012
1,50,-0.00012844031378070458
2,1,6.326628380675684e-05
2,2,0.00024972286888874347
2,3,-3.557912223897087e-08
2,4,-7.216351205839755e-05
2,5,5.9665409681874077e-05
2,6,2.4515527191387494e-05
2,7,-6.890895943872806e-05
2,8,7.819938054169233e-05
2,9,-4.094637460537695e-05
2,10,-1.4381579471672721e-05
2,11,-1.0208116008387878e-05
2,12,4.805098686692816e-05
2,13,-8.479727396619108e-05
2,14,7.730359885581789e-06
2,15,-0.00012616494169599078
2,16,1.1935183066417818e-05
2,17,-9.871359312614516e-05
2,18,0.00010728341603637937
2,19,-2.7502418476746205e-05
2,20,-4.394377361513203e-05
2,21,1.9620291926771055e-06
2,22,6.165745425925964e-05
2,23,-5.083522058615291e-05
2,24,-2.4254335875511545e-05
2,25,1.956981983910196e-05
2,26,1.5850252641257784e-05
2,27,-2.5476170575794918e-05
2,28,-5.654918111252241e-05
2,29,-2.4139390258006423e-05
2,30,-8.038047217519682e-05
2,31,5.005790982361331e-05
2,32,-5.5661153197798076e-05
2,33,-5.509468679752364e-05
2,34,-1.5969812143640823e-05
2,35,-2.5134167897481776e-05
2,36,2.804232076032885e-05
2,37,2.043125914538669e-05
2,38,-6.258049891709777e-05
2,39,2.6456708902545148e-05
2,40,1.9200768832391454e-05
2,41,4.096499163341506e-07
2,42,2.1486442733703472e-05
2,43,-4.0184861987657115e-05
2,44,1.5056148021712066e-05
2,45,2.762338155354185e-05
2,46,1.163578996509568e-05
2,47,-6.986565294454236e-05
2,48,1.0695541320395208e-05
2,49,3.433483398893788e-05
2,50,-3.498638939623171e-05
3,1,-2.3789963396110394e-05
3,2,-3.557912223897087e-08
3,3,0.00020319069515749744
3,4,3.567551042824579e-05
3,5,-3.951922558395245e-06
3,6,-2.8779395594160514e-05
3,7,7.6330831185303e-06
3,8,-7.179616989237995e-06
3,9,-2.4330448588226765e-05
3,10,3.831851781375697e-05
3,11,-2.05869309352092e-05
3,12,3.251267136536258e-06
3,13,7.603983290712148e-05
3,14,-8.471164003063042e-06
3,15,7.653611134481564e-05
3,16,4.159137071116008e-06
3,17,1.1718119443721654e-05
3,18,-1.2821952974921128e-05
3,19,-4.287070626684566e-05
3,20,7.419269731819572e-05
3,21,7.245802893133113e-06
3,22,-3.318183812357162e-05
3,23,4.716313542952291e-05
3,24,3.288045486893651e-05
3,25,-6.0310124285961646e-05
3,26,4.658776436551883e-05
3,27,1.642649121731292e-05
3,28,-1.4175825925831627e-05
3,29,3.0939706952707146e-05
3,30,6.70596015228618e-05
3,31,-7.269469284912854e-05
3,32,-6.145925068966919e-05
3,33,-4.0228282964547915e-06
3,34,1.5628515236696465e-05
3,35,4.945121336577509e-05
3,36,2.3406345041256496e-06
3,37,-3.825902869844747e-05
3,38,6.212154292726188e-07
3,39,1.641174526229462e-05
3,40,4.544406815691998e-05
3,41,6.5393533627798374e-06
3,42,3.034615100283998e-05
3,43,-7.405134317708752e-05
3,44,1.2234254451304968e-05
3,45,1.7641512158888913e-05
3,46,-3.81777462679037e-05
3,47,5.240702978952e-05
3,48,-3.320077029061186e-05
3,49,2.5831621528674678e-05
3,50,-2.7063189574093807e-05
4,1,1.0894381535910387e-06
4,2,-7.216351205839755e-05
4,3,3.567551042824579e-05
4,4,0.0002327526974810295
4,5,-1.6806978473109446e-05
4,6,1.823486282474385e-05
4,7,7.367334539021844e-05
4,8,-0.00013213115031379598
4,9,-2.2486769175730688e-05
4,10,6.945580314376156e-05
4,11,8.37762515269457e-06
4,12,-3.783169892386255e-05
4,13,7.258885048870879e-05
4,14,-5.726180770477637e-05
4,15,0.0001339222129753032
4,16,-4.751392329418104e-05
4,17,5.47872519920672e-05
