i,j,sigma
1,1,0.0002716920817218377
1,2,-0.0002513197852409669
1,3,5.8877994309311155e-05
1,4,0.00010836944498880575
1,5,0.000135344551325113
1,6,-0.0001808302504171483
1,7,-7.272014563856872e-05
1,8,-0.00014713975133491222
2,1,-0.0002513197852409669
2,2,0.0005
2,3,-0.0001195933190622233
2,4,-0.0001361694524953358
2,5,-0.00014972115194926807
2,6,0.0002899422130662345
2,7,0.00011476041329857214
2,8,0.00016165446877929938
3,1,5.8877994309311155e-05
3,2,-0.0001195933190622233
3,3,0.00016817951384503558
3,4,6.53164347004229e-05
3,5,2.2517059229293878e-05
3,6,-6.0687801573454385e-05
3,7,-2.2437125640630663e-06
3,8,-7.518216713520411e-06
4,1,0.00010836944498880575
4,2,-0.0001361694524953358
4,3,6.53164347004229e-05
4,4,0.0003844906697777529
4,5,0.00022209716040006922
4,6,1.0805196463780339e-05
4,7,8.183042935859692e-05
4,8,-0.00018076283511636346
5,1,0.000135344551325113
5,2,-0.00014972115194926807
5,3,2.2517059229293878e-05
5,4,0.00022209716040006922
5,5,0.0003323703000826279
5,6,-4.9454961636298855e-05
5,7,1.7765173348173327e-05
5,8,-0.00022275605559032404
6,1,-0.0001808302504171483
6,2,0.0002899422130662345
6,3,-6.0687801573454385e-05
6,4,1.0805196463780339e-05
6,5,-4.9454961636298855e-05
6,6,0.0003677421197483012
6,7,0.00014840179734102772
6,8,8.58007619929558e-05
7,1,-7.272014563856872e-05
7,2,0.00011476041329857214
7,3,-2.2437125640630663e-06
7,4,8.183042935859692e-05
7,5,1.7765173348173327e-05
7,6,0.00014840179734102772
7,7,0.00020712838715105584
7,8,1.779682770132225e-05
8,1,-0.00014713975133491222
8,2,0.00016165446877929938
8,3,-7.518216713520411e-06
8,4,-0.00018076283511636346
8,5,-0.00022275605559032404
8,6,8.58007619929558e-05
8,7,1.779682770132225e-05
8,8,0.0003285959580360681
