i,j,sigma
1,1,0.0005441990348148648
1,2,0.00013065213415549946
1,3,-7.35687774699032e-05
1,4,-0.00015782104166907956
1,5,-0.00018173628459560104
1,6,9.481665173481748e-07
1,7,0.0002963908921634437
1,8,0.00011398880851346285
1,9,-2.1586676518047738e-05
1,10,7.655572302547424e-05
1,11,-6.210257314084806e-05
1,12,-0.00029692815836536543
1,13,0.00028864238329209227
1,14,0.000156733140678591
1,15,-7.672167232426205e-05
1,16,0.00011423344508576125
1,17,2.5877702864940467e-05
1,18,-0.000312684029073603
1,19,4.901266889287735e-05
1,20,-0.00013425997702002374
2,1,0.00013065213415549946
2,2,0.0007
2,3,9.295942425383484e-05
2,4,7.104723174147844e-05
2,5,5.104115004409042e-05
2,6,-0.00030133855654423047
2,7,0.00017351191546737633
2,8,-0.00032044607920596004
2,9,1.5863033739393163e-05
2,10,3.619111668567298e-06
2,11,-0.00017979258678785454
2,12,-0.00023407501196910652
2,13,-7.453850813402203e-05
2,14,7.288120927768197e-05
2,15,-9.692173260615202e-05
2,16,0.00022443116252634124
2,17,-0.00010005332636935626
2,18,-0.00015472163059879334
2,19,-2.8336003059956562e-05
2,20,0.00018642502182743566
3,1,-7.35687774699032e-05
3,2,9.295942425383484e-05
3,3,0.0004758458172159872
3,4,0.00010060284571444275
3,5,-0.0001279025441631432
3,6,0.00014823287178507153
3,7,-0.00010378956616989958
3,8,-4.066085190972085e-05
3,9,-2.834877045415761e-05
3,10,-0.00025194463036356515
3,11,2.3780664022909408e-05
3,12,1.396535140556524e-05
3,13,-8.291076072724809e-05
3,14,4.0761129697529665e-05
3,15,-0.00022996486525212205
3,16,6.913136039811718e-05
3,17,2.557143861988587e-05
3,18,-4.4886535132502055e-05
3,19,-0.00010981383400668466
3,20,0.00026053351424608226
4,1,-0.00015782104166907956
4,2,7.104723174147844e-05
4,3,0.00010060284571444275
4,4,0.0003859774614832801
4,5,0.00026121962280698527
4,6,-3.086333568093459e-05
4,7,-2.0724782027655422e-05
4,8,-0.00025664570701116696
4,9,0.00012483718453932773
4,10,-0.0001566340283258945
4,11,-0.00010981456703295492
4,12,0.00010580173357679509
4,13,-0.00014488191900425014
4,14,-5.686108537347318e-05
4,15,-4.110089616936029e-05
4,16,-9.217358965854442e-05
4,17,0.00018090599909686384
4,18,7.96368427408002e-05
4,19,-0.00015359501699095654
4,20,-1.0238797362102034e-05
5,1,-0.00018173628459560104
5,2,5.104115004409042e-05
5,3,-0.0001279025441631432
5,4,0.00026121962280698527
5,5,0.0006294041135056876
5,6,-0.00013870220323187066
5,7,-4.289395712093358e-06
5,8,-0.0003458737727861231
5,9,0.00019806269154351352
5,10,5.014268395108184e-05
5,11,-0.00012407537139874175
5,12,0.0001581568008530086
5,13,-0.00017430713174178478
5,14,-0.00014715785688641992
5,15,0.0002056887023840547
5,16,-0.00014484817196307986
5,17,0.0002201025117311872
5,18,0.00014587204355995026
5,19,-0.0001328176145614848
5,20,-0.00018694087613346257
6,1,9.481665173481748e-07
6,2,-0.00030133855654423047
6,3,0.00014823287178507153
6,4,-3.086333568093459e-05
6,5,-0.00013870220323187066
6,6,0.0006042413050216937
6,7,-0.0001956622246857174
6,8,0.00023486599302529145
6,9,-9.933065144420653e-06
6,10,-2.272880800290682e-05
6,11,0.00024034527295008982
6,12,0.00011966247069382798
6,13,7.271490782184832e-05
6,14,-3.643783193764351e-05
6,15,5.180362242534198e-05
6,16,-1.755095395481714e-05
6,17,0.0001661830354120496
6,18,-8.315373102548408e-05
6,19,-8.743076522493457e-05
6,20,7.693915127584026e-06
7,1,0.0002963908921634437
7,2,0.00017351191546737633
7,3,-0.00010378956616989958
7,4,-2.0724782027655422e-05
7,5,-4.289395712093358e-06
7,6,-0.0001956622246857174
7,7,0.0005224194754701843
7,8,-5.516683810598321e-05
7,9,4.40708805355776e-05
7,10,-5.95110846926629e-05
7,11,-0.0002375768208680591
7,12,-0.00025963061843968884
7,13,0.000214315707394403
7,14,0.0001551825186209155
7,15,-0.00017258961395899243
7,16,-7.495738519416803e-06
7,17,6.938615413617262e-05
7,18,-0.0001877031875132233
7,19,1.9112613014759854e-05
7,20,-0.00020249645393759127
8,1,0.00011398880851346285
8,2,-0.00032044607920596004
8,3,-4.066085190972085e-05
8,4,-0.00025664570701116696
8,5,-0.0003458737727861231
8,6,0.00023486599302529145
8,7,-5.516683810598321e-05
8,8,0.000557945810987761
8,9,-0.0001387275008692891
8,10,5.7129815325120496e-05
8,11,0.00018862973484321373
8,12,-1.571697676821822e-05
8,13,0.00019549155689596421
8,14,5.730381422264121e-05
8,15,-1.4248190071390801e-05
8,16,-1.3735386279752768e-06
8,17,-0.00010243632250162357
8,18,-5.0717712503237693e-05
8,19,0.00013049440257750962
8,20,-2.706479770098247e-05
9,1,-2.1586676518047738e-05
9,2,1.5863033739393163e-05
9,3,-2.834877045415761e-05
9,4,0.00012483718453932773
9,5,0.00019806269154351352
9,6,-9.933065144420653e-06
9,7,4.40708805355776e-05
9,8,-0.0001387275008692891
9,9,0.00024278847015743284
9,10,-1.7279679802283508e-05
9,11,-6.897224903044713e-05
9,12,3.796405355910891e-05
9,13,-2.476895147419649e-05
9,14,-3.693258387532284e-05
9,15,4.733409574988258e-05
9,16,-6.967405754845478e-05
9,17,0.0001597456953017335
9,18,3.998967319594065e-06
9,19,-8.718431269935112e-05
9,20,-0.0001162467788279181
10,1,7.655572302547424e-05
10,2,3.619111668567298e-06
10,3,-0.00025194463036356515
10,4,-0.0001566340283258945
10,5,5.014268395108184e-05
10,6,-2.272880800290682e-05
10,7,-5.95110846926629e-05
10,8,5.7129815325120496e-05
10,9,-1.7279679802283508e-05
10,10,0.0005406330176527111
10,11,0.00014389354692317564
10,12,-8.759852696381633e-06
10,13,1.7977236184994977e-05
10,14,-9.144482439947432e-05
10,15,0.00037064477470244434
10,16,0.00010100281911142275
10,17,-9.974745054378965e-05
10,18,-2.774082161293891e-05
10,19,0.00010315341052432923
10,20,-7.938020588243499e-05
11,1,-6.210257314084806e-05
11,2,-0.00017979258678785454
11,3,2.3780664022909408e-05
11,4,-0.00010981456703295492
11,5,-0.00012407537139874175
11,6,0.00024034527295008982
11,7,-0.0002375768208680591
11,8,0.00018862973484321373
11,9,-6.897224903044713e-05
11,10,0.00014389354692317564
11,11,0.0003855918437721899
11,12,0.00011111754479178323
11,13,-2.4301378459277612e-05
11,14,-7.674827862631743e-05
11,15,0.00017145283928892975
11,16,5.748830165285425e-05
11,17,-5.9953784530306476e-05
11,18,1.8505234455579835e-05
11,19,3.114422282716082e-05
11,20,9.421127325562174e-05
12,1,-0.00029692815836536543
12,2,-0.00023407501196910652
12,3,1.396535140556524e-05
12,4,0.00010580173357679509
12,5,0.0001581568008530086
12,6,0.00011966247069382798
12,7,-0.00025963061843968884
12,8,-1.571697676821822e-05
12,9,3.796405355910891e-05
