session_id,src,dst,key_bits,keygen_time_us,rekey_interval_ms,packet_count,failure_rate,total_overhead_us
1,30,64,256,13.542932167340737,500,2872,0.00017022276983185583,13.761517827210788
2,100,50,512,16.979048041860963,250,4244,0.00011057605338656464,17.240397523263677
3,14,99,1024,60.57611097255035,100,2340,3.486852534578589e-05,60.87219392256694
4,54,4,256,11.502795890185046,50,20,5.109843810511108e-05,11.502795890185046
5,90,41,1024,41.69274804412042,1000,783,0.00014675160632331743,42.035959029962434
6,49,16,256,8.703406447637075,250,4394,5.251825926840077e-07,9.071229381322087
7,78,63,1024,32.21171575788855,500,4514,5.987917980052568e-05,32.32012611917275
8,60,88,256,13.185578600604199,100,3880,7.013402811411435e-05,13.445373873685273
9,86,87,512,25.870054572829243,50,4668,3.8273931194601535e-05,26.047788160884995
10,69,65,512,16.653227729468178,250,2349,5.297980165785777e-05,16.743384915482146
11,83,53,256,15.825672728296443,500,1533,3.087299301336429e-05,16.207636548395513
12,52,62,256,16.046251250912174,1000,3885,2.34671015805714e-05,16.285869305428047
13,59,21,1024,41.83577880623229,50,3274,0.0001449119037622676,42.081600178880834
14,16,36,256,11.131281413161643,1000,1840,7.402942977796795e-05,11.245539184141833
15,65,34,512,38.2677268205433,100,1872,3.281781319865304e-05,38.719862551337734
16,55,12,256,10.842316512730983,250,1281,0.00019730689366901537,11.212325124115756
17,92,66,256,10.189788331929584,50,670,9.50154599229398e-05,10.480124283200736
18,89,5,256,16.400783905121376,100,3817,0.00010168413187134202,16.825343278752527
19,64,1,256,10.51276982575221,50,2514,0.00012985162501108,10.51276982575221
20,96,31,256,14.266430554120838,250,3865,5.934500881178053e-05,14.299074022211995
21,21,65,256,8.268093495432298,500,1302,7.097525699150358e-05,8.479761083703892
22,51,68,512,56.86331576687421,250,1272,7.64739822901613e-06,56.9715685519246
23,38,85,256,13.920072615498476,100,4146,9.171180453344722e-05,14.156795192548909
24,56,3,256,15.16113248857797,1000,2218,7.787912012272555e-05,15.24014841310535
25,99,75,1024,48.901047337440666,250,3208,0.00014901752771815868,49.10105467205609
26,16,100,512,16.716356783089214,250,3612,0.00023969449770618403,16.756723441605885
27,74,33,512,26.6007954771563,100,528,3.2420065580027965e-05,26.6007954771563
28,1,66,256,10.61604356781255,500,1062,6.447329794012418e-05,10.624636431828444
29,89,75,256,14.820320814302784,100,1521,3.215081002185545e-05,14.89566763876063
30,79,46,512,15.959900236500799,250,182,0.00015793616591552176,16.34807076385385
31,32,3,256,13.502862431477835,100,4636,5.7661935216201894e-05,13.872953456099317
32,26,36,256,13.03600860330291,250,3113,2.5548186154383775e-05,13.189603346508475
33,24,98,1024,40.98255409068486,50,530,3.8128965629798796e-05,41.099877034214764
34,10,98,512,22.06804695299642,250,3660,2.0325405108267074e-05,22.239144749930833
35,82,72,512,22.94924226668429,250,1216,4.075795698317603e-05,23.082510289774913
